상영일정번호	영화번호	상영관번호	상영시작일	상영요일	상영회차	상영시작시간
1	9	10	2021-09-13	월	1	9:30
2	1	2	2021-01-12	화	1	10:30
3	8	11	2021-08-17	화	1	14:00
4	10	9	2021-10-01	금	1	17:00
5	3	12	2021-03-18	목	1	15:30
6	4	3	2021-04-03	토	1	10:00
7	7	8	2021-07-08	목	1	11:00
8	1	13	2021-01-12	화	2	11:00
9	3	1	2021-03-18	목	2	13:00
10	5	14	2021-05-05	수	1	12:00
11	6	7	2021-06-12	토	1	18:00
12	1	15	2021-01-12	화	3	23:00
13	10	6	2021-10-01	금	2	11:30
14	5	4	2021-05-05	수	2	16:30
15	8	7	2021-08-17	화	2	19:00
16	7	6	2021-07-08	목	2	18:00
17	4	8	2021-04-03	토	2	18:00
18	9	5	2021-09-13	월	2	14:30
19	2	2	2021-02-15	월	1	22:00
20	1	1	2021-01-12	화	4	20:00
21	11	2	2021-11-09	화	1	13:30
22	12	3	2021-12-10	금	1	14:00
